Rk,Player,Tm,Age,Pos,G,GS,Cmp,Att,Cmp%,Yds,TD,Int,1D,Y/A,Y/C,Y/G,Rate,QBR,Sk
102,Jamal Agnew,DET,25,,14,2,0,1,0.0,0,0,0,0,0.0,,0.0,39.6,1.3,0
103,Keenan Allen*,LAC,28,WR,14,13,0,1,0.0,0,0,0,0,0.0,,0.0,39.6,1.9,0
104,Randall Cobb,HOU,30,,10,2,0,1,0.0,0,0,0,0,0.0,,0.0,39.6,3.8,0
105,Riley Dixon,NYG,27,,16,0,0,1,0.0,0,0,0,0,0.0,,0.0,39.6,,0
106,Alex Erickson,CIN,28,,16,2,0,1,0.0,0,0,0,0,0.0,,0.0,39.6,11.1,0
107,Chris Jones,DAL,31,,8,0,0,1,0.0,0,0,0,0,0.0,,0.0,39.6,,0
108,Brett Kern,TEN,34,,13,0,0,1,0.0,0,0,0,0,0.0,,0.0,39.6,0.0,0
109,D.J. Moore,CAR,23,WR,15,14,0,1,0.0,0,0,0,0,0.0,,0.0,39.6,,0
110,Zach Pascal,IND,26,WR,16,14,0,1,0.0,0,0,0,0,0.0,,0.0,39.6,2.5,0
111,Sammy Watkins,KAN,27,WR,10,9,0,1,0.0,0,0,1,0,0.0,,0.0,0.0,0.0,0
112,Isaiah Wright,WAS,23,wr,14,6,0,1,0.0,0,0,0,0,0.0,,0.0,39.6,3.8,0
